titles,details,hrefs,date,reference,term,year,page,country,party,file,n_results,reference_clean,content,href_answer,reference_page,rule,directed_at
Protection of laying hens,WRITTEN QUESTION  by Joaquín Sisó Cruellas(PPE) to the Commission,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+WQ+E-1998-1601+0+DOC+XML+V0//EN&language=EN,25-05-1998,E-1601/1998,1994-1999,1998,22,spain,Group of the European People's Party (Christian-Democratic Group),1994-1999_1998_spain_group-of-the-european-people-s-party--christian-democratic-group-_22.html,397,E-1601_1998,"
The Spanish Association of Egg Producers believes that the Commission's proposal for a directive laying down minimum standards for the protection of laying hens kept in various systems of rearing will increase the market price of a dozen eggs by more than 400 pesetas, which could lead people to stop buying this product.
Does the Commission believe that the opinion of the Spanish Association of Egg Producers is correct?
If not, does it believe that there will be no increase in the price of a dozen eggs as a result of the application of this directive?",/sides/getAllAnswers.do?reference=E-1998-1601&language=EN,E-1601/98,NA,commission
Possible infringement of Community rules on the protection of employees and employment rates by Tetra Pak's restructuring plan,WRITTEN QUESTION  by Roberta Angelilli (UEN) to the Commission,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+WQ+E-2006-2565+0+DOC+XML+V0//EN&language=EN,01-06-2006,E-2565/2006,2004-2009,2006,11,italy,Union for Europe of the Nations Group,2004-2009_2006_italy_union-for-europe-of-the-nations-group_11.html,240,E-2565_2006,"


On 26 April 2006 the Swedish multinational, Tetra Pak, announced the launch of a restructuring plan aimed at reorganising its production activities. In particular, it announced the closing of its plant in the Italian province of Latina and the opening of the mobility procedure for 130 employees at the plant. The restructuring plan provides for the Latina establishment’s activities producing Tetra Rex containers to be concentrated in the Sunne plant in Sweden. The grounds given for the decision by the firm’s management were declining consumption, and consequent overproduction, of Tetra Rex, partly caused by strong competition in the food container market. However, the Latina establishment’s accounts are in the black, no losses have been recorded and the decline in output recorded at the Latina plant is lower than average for the sector in Italy and Europe. Moreover, in 2002, the employees contributed to turning the company round by opting for extremely flexible working hours and a 15 % cut in their own salaries, thus enabling the company to invest in research and new technologies. The ‘tax’ on pay agreed for a five-year period is still in force, but the resulting savings will not be reinvested in the region or for the benefit of the employees who have contributed to making them. Despite the readiness already shown by employees, and expressed in recent days by the provincial, regional and national authorities to maintain production and seek solutions to avoid the closure of the plant, Tetra Pak has maintained its unilateral decision to close down the Latina establishment and make 130 employees redundant, which will affect a further 70 workers in related employment. This being so:
1.

Would the Commission state whether Tetra Pak has complied with the provisions of Directive 98/59/EC(1) on collective redundancies, and in particular Article 2 thereof, and whether it has complied with Directive 94/45/EC(2), as amended by Directive 97/74/EC(3), and Directive 2002/14/EC(4)?
2.

Would the Commission state whether it has any data about the alleged crisis in the sector, and if so, whether it corroborates the data cited by the management of Tetra Pak as grounds for closing the establishment?
3.

Would the Commission state what measures could be taken to avoid closing the establishment down and making the employees redundant?
(1)OJ L 225, 12.8.1998, p. 16.(2)OJ L 254, 30.9.1994, p. 64.(3)OJ L 10, 16.1.1998, p. 22.(4)OJ L 80, 23.3.2002, p. 29.",/sides/getAllAnswers.do?reference=E-2006-2565&language=EN,E-2565/06,NA,commission
Right of EU residents to vote in national parliamentary elections,Question for written answer E-6242/2010to the CouncilRule 117Joe Higgins (GUE/NGL),https://www.europarl.europa.eu/doceo/document/E-7-2010-6242_EN.html,21-07-2010,E-6242/2010,2009-2014,2010,1,ireland,Confederal Group of the European United Left - Nordic Green Left,2009-2014_2010_ireland_confederal-group-of-the-european-united-left---nordic-green-left_1.html,24,E-6242_2010,"
The right to vote in parliamentary elections under universal suffrage is an important and essential democratic right that has been won in European countries. 
Several articles in the EU Treaties acknowledge this basic right and other democratic rights.
Some of these rights include the principle of equality (Article 9 TEU) and the right to participate in the democratic life of the Union (Article 10.3 TEU). The Treaties also place importance on the national parliament in the functioning of the EU (Article 12 TEU),
EU citizens also have the right to move and reside freely within the EU and to provide services based upon a level playing field within the EU. However, when availing themselves of these rights EU citizens can be deprived of their basic right to vote in national parliamentary elections when working or travelling in another Member State.
Does the Commission therefore believe, in the spirit of the aforementioned democratic rights, that EU citizens should have the right to participate in the national parliamentary and other elections of the Member State they are resident in or in their home Member State?",/doceo/document/E-7-2010-6242-ASW_EN.html,E-6242/2010,117,council
Respect for multilingualism in the European institutions,"Question for written answer E-003363/2019/rev.1to the CommissionRule 138Jean-Paul Garraud (ID), Maxette Pirbakas (ID), Jean-François Jalkh (ID), Julie Lechanteux (ID), Annika Bruna (ID), Virginie Joron (ID), Gilles Lebreton (ID), Catherine Griset (ID), Gilbert Collard (ID), André Rougé (ID), Jérôme Rivière (ID), Aurelia Beigneux (ID), Joëlle Mélin (ID), Nicolas Bay (ID), Hélène Laporte (ID), France Jamet (ID), Thierry Mariani (ID), Jordan Bardella (ID)",https://www.europarl.europa.eu/doceo/document/E-9-2019-003363_EN.html,18-10-2019,E-003363/2019,2019-2024,2019,6,france,Identity and Democracy Group,2019-2024_2019_france_identity-and-democracy-group_6.html,97,E-003363_2019,"One of the fundamental rights of the European Union is the right to be able to express oneself in any working language or official language, as defined by Regulation No 1 of 15 April 1958 determining the language to be used by the European Economic Community.This principle of multilingualism is further reinforced by the Charter of Fundamental Rights of the European Union, which, in Article 41(4), provides that every person may write to the institutions of the Union in one of the languages of the Treaties and must have an answer in the same language.Yet, a group of European civil servants are speaking out against the current situation of English monolingualism, which is in breach of the above-mentioned legislation. Unfortunately, we see this situation on a daily basis in the course of our parliamentary work as we exercise our mandates as MEPs.One of the Commission’s main roles is to ensure compliance with European law. What measure or decision does the Commission plan to adopt to ensure that the European institutions, and in particular the Commission itself, are able to enforce the relevant legislation?",/doceo/document/E-9-2019-003363-ASW_EN.html,E-003363/2019/rev.1,138,commission
Reform of the common organization of the market in wine,WRITTEN QUESTION  by Jean-Pierre Raffarin (PPE) to the Council,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+WQ+E-1995-0167+0+DOC+XML+V0//EN&language=EN,22-02-1995,E-0167/1995,1994-1999,1995,8,france,Group of the European People's Party (Christian-Democratic Group),1994-1999_1995_france_group-of-the-european-people-s-party--christian-democratic-group-_8.html,89,E-0167_1995,"
Reform of the common organization of the market in wine is causing French producers much concern. What is the Council's timetable for introducing the new scheme?",/sides/getAllAnswers.do?reference=E-1995-0167&language=EN,E-167/95,NA,council
EU ProSun complaints of 25 July 2012 concerning dumping and of 25 September 2012 concerning unfair subsidies,Question for written answer E-009377/2012to the CommissionRule 117Werner Langen (PPE),https://www.europarl.europa.eu/doceo/document/E-7-2012-009377_EN.html,16-10-2012,E-009377/2012,2009-2014,2012,5,germany,Group of the European People's Party (Christian Democrats),2009-2014_2012_germany_group-of-the-european-people-s-party--christian-democrats-_5.html,186,E-009377_2012,"
Imports from China of solar energy systems marketed at dumping prices are forcing more and more European manufacturers of photovoltaic equipment to declare insolvency or lay off workers.
Against this background, on 25 July 2012 the EU ProSun trade association lodged a complaint with the Commission urging it to begin keeping a formal record of Chinese imports as soon as possible and, if dumping is confirmed, to impose retroactive penalties. On 6 September 2012 the Commission officially opened an anti-dumping investigation, the results of which are expected in mid-to-late 2013.
On 25 September 2012, EU ProSun filed another complaint against the massive subsidies propping up the Chinese solar industry, which breach international trade rules by distorting competition.
Since every week sees another solar energy company forced to declare insolvency or make workers redundant, EU ProSun has called on the Commission to speed up the procedure and begin keeping a formal record of Chinese imports as a matter of urgency.
1. What stage has been reached in the aforementioned procedure?
2. How is the Commission responding to the call to speed up the procedure?
3. Is the Commission willing to take measures similar to those implemented by the US Administration?",/doceo/document/E-7-2012-009377-ASW_EN.html,E-009377-12,117,commission
Delays in the transposition of EU legislation,"Question for written answer E-010370/2014to the CommissionRule 130Massimiliano Salini (PPE), Fulvio Martusciello (PPE)",https://www.europarl.europa.eu/doceo/document/E-8-2014-010370_EN.html,08-12-2014,E-010370/2014,2014-2019,2014,4,italy,Group of the European People's Party (Christian Democrats),2014-2019_2014_italy_group-of-the-european-people-s-party--christian-democrats-_4.html,230,E-010370_2014,"
An increasing number of national industries are unable to adapt their production systems to the new EU requirements in due time, as Member States have not received a clear timeline from the EU for their transposition.
Comitology and delegated acts are designed to enable these measures to be adopted via a fast‐track process. However, the intended fast-track processes are in fact slowing down the full application of EU legislation, creating legal uncertainty for stakeholders and national enterprises. Quite often, the deadlines set for the Commission to transpose EU legislation are very close to the deadlines for Member States to implement that legislation. So industries are not given enough time to adapt their machinery and convert their production systems in accordance with the new EU requirements, leading to high costs and significant economic losses. In some cases this may even lead to a de facto impossibility of complying with EU legislation.
Can the Commission clarify whether it is aware of this situation, and what its position will be if the delayed adoption of delegated and implementing acts makes it impossible for stakeholders and enterprises to fully comply with and implement EU legislation?",/doceo/document/E-8-2014-010370-ASW_EN.html,E-010370-14,130,commission
Mobile phone charges,WRITTEN QUESTION  by Christel Schaldemose (PSE) to the Commission,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+WQ+P-2008-0293+0+DOC+XML+V0//EN&language=EN,21-01-2008,P-0293/2008,2004-2009,2008,6,denmark,Socialist Group in the European Parliament,2004-2009_2008_denmark_socialist-group-in-the-european-parliament_6.html,60,P-0293_2008,"

Following the adoption of the regulation on roaming charges, several telecommunications firms in Denmark have begun to introduce charging by the minute, rather than by the second as in the past. In other words, a conversation lasting one minute and one second will be charged at the rate for two minutes. This is a way for the telecommunications firms to earn the money they used to make from high roaming charges; however, it is a very regrettable consequence of the regulation and is not in the consumer’s interest.

Is the Commission aware that the practice of charging by the minute was introduced after the entry into force of the new roaming charges? Does the Commission have any plans to intervene to combat this practice, so that consumers do not have to pay for more than they get?",/sides/getAllAnswers.do?reference=P-2008-0293&language=EN,P-0293/08,NA,commission
no questions,no questions,no questions,no questions,no questions,2004-2009,2006,1,finland,Non-attached Members,2004-2009_2006_finland_non-attached-members_1.html,0,no questions,NA,NA,NA,NA,NA
Follow-up question: the Bitcoin market,Question for written answer E-013401/13by Francisco Sosa Wagner (ALDE)to the Commission,https://www.europarl.europa.eu/doceo/document/E-7-2013-013401_EN.html,26-11-2013,E-013401/2013,2009-2014,2013,2,spain,Non-attached Members,2009-2014_2013_spain_non-attached-members_2.html,118,E-013401_2013,"
Various media sources have recently picked up on the high volatility in the exchange rate of the virtual currency Bitcoin. Over the last year, the value of the currency has soared by more than 6 000%.
It is not only these fluctuations and their potential consequences that are of concern to me. According to a report published by the European Central Bank in October 2012(1), the system demonstrates a clear case of information asymmetry as ‘[i]t is complex and therefore not easy for all potential users to understand. At the same time, however, users can easily download the application and start using it even if they do not actually know how the system works and which risks they are actually taking’.
Furthermore, as the Commission will be aware, the currency enables transactions to be carried out anonymously. This could greatly help criminal organisations conduct transactions or facilitate access to fraudulent markets(2).

Undoubtedly, and as the Chairman of the Federal Reserve, Ben Bernanke, has claimed, virtual currency may hold long-term promise in certain areas. However, in view of all the questions raised:
1.
Does the Commission not think it should launch a detailed study into the consequences of the increased use of this virtual currency?
Despite the fact that the currency has attracted more investors than consumers, various reports(3) in the media indicate a possible change in direction.
2. Does the Commission intend to take any action to protect the consumer?
(1)http://www.ecb.europa.eu/pub/pdf/other/virtualcurrencyschemes201210en.pdf(2)http://gawker.com/the-underground-website-where-you-can-buy-any-drug-imag-30818160(3)http://business.financialpost.com/2013/10/28/bitcoin-atm-canada-this-week/?__lsa=b717-56a8",/doceo/document/E-7-2013-013401-ASW_EN.html,E-013401-13,NA,commission
VP/HR - Plan to upgrade NATO satellite and computer technology,Question for written answer E-002099/2017to the CommissionRule 130Mario Borghezio (ENF),https://www.europarl.europa.eu/doceo/document/E-8-2017-002099_EN.html,28-03-2017,E-002099/2017,2014-2019,2017,18,italy,Europe of Nations and Freedom Group,2014-2019_2017_italy_europe-of-nations-and-freedom-group_18.html,243,E-002099_2017,"
NATO plans to spend about EUR 3 billion to upgrade its satellite and computer technology over the next three years.

The plan includes: 
—
A EUR 1.7 billion investment in satellite communications to improve support for troops and ships and to assist drone activities; 
—
A EUR 800 million investment in computer systems to help control air and missile defences;
—
EUR 71 million to improve protection from cyber attacks for the 32 main NATO locations;
—
EUR 180 million to make mobile communications safer for soldiers in the field.
Can the High Representative clarify whether NATO members will finance this upgrade plan and, if so, to what extent?",/doceo/document/E-8-2017-002099-ASW_EN.html,E-002099-17,130,commission
Microsoft/LinkedIn merger,"Question for written answer E-008372/2016to the CommissionRule 130Andreas Schwab (PPE), Jan Philipp Albrecht (Verts/ALE), Catherine Stihler (S&D), Ramon Tremosa i Balcells (ALDE), Marju Lauristin (S&D)",https://www.europarl.europa.eu/doceo/document/E-8-2016-008372_EN.html,04-11-2016,E-008372/2016,2014-2019,2016,4,unitedkingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,2014-2019_2016_unitedkingdom_group-of-the-progressive-alliance-of-socialists-and-democrats-in-the-european-parliament_4.html,232,E-008372_2016,"
It has recently been recognised by Commissioner Vestager that ‘data could be an important factor in how a merger affects competition’ and that ‘a company might even buy up a rival just to get hold of its data, even though it hasn’t yet managed to turn that data into money’.
The potential acquisition of LinkedIn by Microsoft is now under merger review within DG COMP. The market position of the two parties and indications that Microsoft intends to fully integrate LinkedIn into its products, while preventing competitors from accessing LinkedIn’s unique and non-replicable set of data, have raised concerns.
1. Does the Commission consider that these issues could raise serious competition concerns including input foreclosure and tying/bundling?
2. Is the Commission testing whether access to LinkedIn’s datasets is essential to achieving a level playing field?
3. And, if so, what solutions does the Commission have in mind in relation to LinkedIn’s unique data, and would the Commission ultimately intend to bar Microsoft’s acquisition?",/doceo/document/E-8-2016-008372-ASW_EN.html,E-008372-16,130,commission
Environmental impact of the construction of a sewage treatment plant in Pescasseroli (Abruzzo National Park),"Question for written answer E-002493/2018to the CommissionRule 130Piernicola Pedicini (EFDD), Dario Tamburrano (EFDD)",https://www.europarl.europa.eu/doceo/document/E-8-2018-002493_EN.html,04-05-2018,E-002493/2018,2014-2019,2018,18,italy,Europe of Freedom and Direct Democracy Group,2014-2019_2018_italy_europe-of-freedom-and-direct-democracy-group_18.html,254,E-002493_2018,"
The Abruzzo Region has delivered a favourable opinion on the plan to build a wastewater treatment plant in the ‘Colle Regina’ area of Abruzzo, on the Pescasseroli plain.
The area in question falls within the Abruzzo National Park, in addition to the Site of Community Interest IT7110205 (Abruzzo National Park), defined as being of high environmental quality with ‘priority’ habitats that are also of archaeological interest owing to the presence of pre-Roman settlements. In addition, the construction will be in Area 119 of the ‘area of importance for the conservation of birds’ programme, i.e. an area considered to be an important habitat for the conservation of bird populations.
The actual work planned will have a significant environmental impact, as it will involve excavations and will cross a river-bed and a rocky ridge, within a ‘unique’ environmental unit in the central Apennines.
Given the above, can the Commission say:
1.
Whether this project is indicative of a permanent decline in an area that should be safeguarded, in accordance with Directives 79/409/EEC (Wild Birds Directive) and 92/43/EEC (Habitats Directive);
2.
What assurances it can provide that all possible alternatives to locate the sewage treatment plant on a more appropriate site have been assessed by the local authorities responsible, with a view to merging the need for waste water treatment with environmental protection?
",/doceo/document/E-8-2018-002493-ASW_EN.html,E-002493-18,130,commission
Amendment to the law on electronic communications,Question for written answer E-008641/2014to the CommissionRule 130Olga Sehnalová (S&D),https://www.europarl.europa.eu/doceo/document/E-8-2014-008641_EN.html,03-11-2014,E-008641/2014,2014-2019,2014,1,czechia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,2014-2019_2014_czechia_group-of-the-progressive-alliance-of-socialists-and-democrats-in-the-european-parliament_1.html,20,E-008641_2014,"
On 22 October 2014, the Parliament of the Czech Republic passed an amendment to the law on electronic communications. This gave rise to comments by professional users and the Czech Telecommunications Office, pointing out that this would put users in a worse position in relation to telecommunications operators, mainly because it would limit the scope for withdrawing from a contract in the event of a change to the terms and conditions, and also because it would reduce the level of the guaranteed obligation to provide information to users.
There is a suspicion that the amendment is contrary to Directive 2002/22/EC of the European Parliament and of the Council of 7 March 2002 on universal service and users' rights relating to electronic communications networks and services (Universal Service Directive). This concerns a provision which, in contrast with the legislation as it stands, does not allow the customer to terminate the contract if the operator unilaterally modifies the conditions, but on the contrary forces the customer to remain in a contractual relationship on terms to which he/she does not agree and which may be disadvantageous to him/her. The Universal Service Directive states, on this point, that subscribers have a right to withdraw from their contracts without penalty upon notice of proposed modifications in the contractual conditions. 
1. Does the Commission have information at its disposal regarding the implementation of the amendment to the law on electronic communications in the Czech Republic?
2. Does the Commission consider that the abovementioned provisions of the amendment could be contrary to Directive 2002/22/EC (the Universal Service Directive)?",/doceo/document/E-8-2014-008641-ASW_EN.html,E-008641-14,130,commission
100% recyclable solar panels,Question for written answer E-005639/12by Sergio Paolo Francesco Silvestris (PPE)to the Commission,https://www.europarl.europa.eu/doceo/document/E-7-2012-005639_EN.html,05-06-2012,E-005639/2012,2009-2014,2012,37,italy,Group of the European People's Party (Christian Democrats),2009-2014_2012_italy_group-of-the-european-people-s-party--christian-democrats-_37.html,1001,E-005639_2012,"
Italian-Swedish collaboration has produced a 100 % recyclable photovoltaic module. The new product is the result of a partnership between an Italian photovoltaics manufacturing company, which has 10 years’ experience in the supply of complete solar panel systems, and a Swedish start-up that specialises in developing thin-film deposition technologies.
The idea is based on depositing a thin layer of CIGS (copper indium gallium selenide) film on steel cells. CIGS technology is already used for thin-film panels, and the innovation lies in using a surface smaller than a standard photovoltaic cell (156 x 156 mm) for the expensive deposition process. The heart of the innovation is the assembly process. A new machine has been developed to weld the CIGS cells to make the panels, and a new ‘inverse’ lamination process has been invented for manufacturing the ultra-thin glass.
The CIGS cells are sealed in a thermoplastic film that adheres to the glass and provides insulation from atmospheric agents for 30 years. This material not only ensures performance above the current standard, but, most importantly, is free from acetic acids and enables the process to be reversed at high temperatures. Hence, when a panel has reached the end of its life, it can be opened and all the materials inside (glass, aluminium, metals, etc.) can be reused, with essentially no environmental impact. 

In view of the above:
1.
Does the Commission know about the new 100 % recyclable photovoltaic module?
2.
Has Parliament approved any regulations on separate waste collection and recycling as regards solar panels?
",/doceo/document/E-7-2012-005639-ASW_EN.html,E-005639/2012,NA,commission
25 May - European Day of Heroes of the Fight Against Totalitarianism,"Question for written answer E-9374/2010to the CommissionRule 117Michał Tomasz Kamiński (ECR), Tomasz Piotr Poręba (ECR)",https://www.europarl.europa.eu/doceo/document/E-7-2010-9374_EN.html,29-10-2010,E-9374/2010,2009-2014,2010,5,poland,European Conservatives and Reformists Group,2009-2014_2010_poland_european-conservatives-and-reformists-group_5.html,245,E-9374_2010,"
On 8 July 2010, EC President Jose Manuel Barroso received a letter from EP President Jerzy Buzek in which he requested the Commission’s view on the initiative of declaring 25 May the European Day honouring the Heroes of the Fight against Totalitarianism. 
The proposed date is symbolic because it was on 25 May 1948 that Witold Pilecki, a Polish soldier who volunteered to be sent to the Auschwitz concentration camp in order to set up a resistance movement and gather information for the Allies about Nazi atrocities committed inside the camp, was executed by the Polish Communist authorities.
The proposal was submitted by the ECR Group upon the initiative of Michał Tomasz Kamiński and Tomasz Poręba. 

We would like to ask the Commission the following:
—
Has it completed the assessment of the ECR Group proposal?
—
If so, what is the Commission’s position on the proposal?
—
If not, when can we expect an answer from the Commission?
",/doceo/document/E-7-2010-9374-ASW_EN.html,E-9374/2010,117,commission
Proposal for a CMO in potatoes based on a specific system of surface area quotas,WRITTEN QUESTION  by Josu Imaz San Miguel (PPE) to the Commission,http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+WQ+E-1994-2658+0+DOC+XML+V0//EN&language=EN,14-12-1994,E-2658/1994,1994-1999,1994,3,spain,Group of the European People's Party (Christian-Democratic Group),1994-1999_1994_spain_group-of-the-european-people-s-party--christian-democratic-group-_3.html,58,E-2658_1994,"
A market as unstable as that of the potato needs to be regulated at European level, particularly since it is increasingly being grown as an alternative crop, because of production restrictions on other agricultural products, owing to the spread of quota arrangements, and this could exacerbate the problems of potato-growers.
The Commission proposal for a Council Regulation on the common organization of the market in potatoes (COM(92) 185 final)(1) is opposed by some, because they consider that its implementation could inter alia entail greater Community expenditure, complicate administrative formalities and/or interfere with the free development of the market.
The Council of Ministers of 18 and 19 July 1994 agreed to continue its deliberations on the establishment of a CMO in potatoes with a view to adopting a Decision by 1 July 1995.
The new CMO should be compatible with the general regulation of other agricultural products which compete with potatoes despite the fact that the problems which gave rise to the present arrangements for these products (the lack of control over EAGGF Guarantee expenditure) and the problems affecting potatoes are different, and efforts should be made to avoid the usual problems which beset the CAP.
The introduction of a specific system of surface area quotas in the proposal for a CMO in potatoes could provide a flexible general framework to regulate supply without complex administration or increased expenditure and the dynamics of the market itself would lead to a stable, efficient and fair functioning of the market.
Could the Commission consider including such a system of surface area quotas in a new proposal for a Regulation on the establishment of a CMO in potatoes?
(1)COM(92) 185 final — OJ No C 333, 17. 12. 1992, p. 19.",/sides/getAllAnswers.do?reference=E-1994-2658&language=EN,E-2658/94,NA,commission
The H1N1 virus and the role of the World Health Organisation in Poland,Question for written answer E-5751/2010to the CommissionRule 117Mara Bizzotto (EFD),https://www.europarl.europa.eu/doceo/document/E-7-2010-5751_EN.html,13-07-2010,E-5751/2010,2009-2014,2010,56,italy,Europe of freedom and democracy Group,2009-2014_2010_italy_europe-of-freedom-and-democracy-group_56.html,960,E-5751_2010,"
On 11 June 2009 the World Health Organisation (WHO) declared a pandemic caused by the spread of the H1N1 virus, commonly known as ‘swine flu’.
One year on from this declaration of a state of alert, conclusions have been drawn by two documents: an investigation published by the British Medical Journal, which shook public opinion by calling into question the transparency of the findings of the WHO task force on the dangerousness of the virus in question, and a report by Mr Paul Flynn, MP, on the WHO's behaviour in managing the new H1N1 influenza. Mr Flynn declared before the Social, Health and Family Affairs Committee of the Council of Europe that the vaccination programme set up by the WHO was nothing but ‘placebo medicine on a large scale’.
The only certainty appears to be that thanks to the race by governments all over the world to stockpile vaccines, the pharmaceutical companies have earned at least USD 7 billion, according to estimates by the bank J.P. Morgan. 
Can the Commission say how many deaths were officially ascribed to the H1N1 virus in Poland?
Can the Commission say how many doses of vaccine were purchased by Poland and how many were actually used?
Does the Commission know how much it cost Poland to order its stocks?",/doceo/document/E-7-2010-5751-ASW_EN.html,E-5751/2010,117,commission
Two F-16s over Cyprus,"Question for written answer E-013190/13by Angelika Werthmann (NI), by Antigoni Papadopoulou (S&D)to the Commission",https://www.europarl.europa.eu/doceo/document/E-7-2013-013190_EN.html,20-11-2013,E-013190/2013,2009-2014,2013,1,cyprus,Group of the Alliance of Liberals and Democrats for Europe,2009-2014_2013_cyprus_group-of-the-alliance-of-liberals-and-democrats-for-europe_1.html,5,E-013190_2013,"
Following the latest violation of Cypriot airspace, by two Turkish F-16 fighter jets that flew over Nicosia, thereby upsetting the residents on 18 November 2013:
1.
How does the Commission view this incident?
2.
How can the Commission ensure that provocative incidents of this kind do not happen again with regard to Cypriot airspace?
3.
How can the Commission ensure that European airspace is not be violated again, even in this distant Eastern Mediterranean border region?
4.
Does the Commission intend to bring this to the attention of the ICAO, so that sanctions will be imposed on the candidate country involved?
",/doceo/document/E-7-2013-013190-ASW_EN.html,E-013190-13,NA,commission
Questions on CETA negotiations,Question for written answer E-005598/2016to the CommissionRule 130Joëlle Mélin (ENF),https://www.europarl.europa.eu/doceo/document/E-8-2016-005598_EN.html,08-07-2016,E-005598/2016,2014-2019,2016,24,france,Europe of Nations and Freedom Group,2014-2019_2016_france_europe-of-nations-and-freedom-group_24.html,485,E-005598_2016,"
As the Commissioner announced on 5 July 2016, the trade agreement between the EU and Canada must be voted on by the national parliaments of the 28 Member States before it can be definitively adopted. This announcement followed on from one made by the President of the Commission, who declared on 29 June 2016 that the agreement came within the exclusive competence of the EU and was not a ‘mixed agreement’, meaning that there was no requirement to consult the national parliaments.
The final decision to declare the agreement a mixed agreement is a response to a legal analysis, on the one hand, and the people's desire to be consulted on issues that concern them on the other. Despite this, however, it seems that the agreement could enter into force provisionally — before any national parliament has been consulted — once adopted by the European Parliament.
In this connection, what arrangements are in place for implementing the aforementioned agreement before the national parliaments have been consulted? 
What would the consequences be of one or several Member States refusing to ratify the agreement?",/doceo/document/E-8-2016-005598-ASW_EN.html,E-005598-16,130,commission
Supplementary question in relation to unemployment in Portugal,Question for written answer E-004526/2013to the CommissionRule 117Angelika Werthmann (ALDE),https://www.europarl.europa.eu/doceo/document/E-7-2013-004526_EN.html,23-04-2013,E-004526/2013,2009-2014,2013,13,austria,Group of the Alliance of Liberals and Democrats for Europe,2009-2014_2013_austria_group-of-the-alliance-of-liberals-and-democrats-for-europe_13.html,199,E-004526_2013,"
The position of people in Portugal is deteriorating rapidly. In February 2013, unemployment figures stood at approx. 939 000; average unemployment in January 2013 lay at 15.8%. The unemployment rate in December 2011 was 13.6%. 
The Commission in its reply to Question E-002356/2012 wrote: ‘The reforms which have been, or are soon to be, implemented … are expected to improve the way the labour market functions in the medium term and increase the rate of employment across the country.’
1. In view of the drastic increase in unemployment in Portugal within one year and the reports forecasting a likely further deterioration for the economy in 2013, can the Commission indicate its assessment of the development of the labour market in Portugal?
2. Has the forecast for a ‘medium-term’ improvement in the situation also taken account of a temporary deterioration?
3. Has the ‘new reprogramming’ of the European Social Fund (ESF) and the European Regional Development Fund (ERDF) in 2012, also mentioned in the answer, actually taken place?
3.1 If so, what has been the impact of the resulting support mechanisms for SMEs on the Portuguese labour market to date?
4. In what time frame is the Commission expecting an improvement in the labour market? (A definition of the term ‘medium term’ is requested in this context.)",/doceo/document/E-7-2013-004526-ASW_EN.html,E-004526-13,117,commission
"State of play of EU-Turkey political, economic and trade relations","Question for written answer E-000430/2021to the CommissionRule 138Anna-Michelle Asimakopoulou (PPE), Barry Andrews (Renew), Vilija Blinkevičiūtė (S&D), Olivier Chastel (Renew), Loucas Fourlas (PPE), Christophe Hansen (PPE), Eva Kaili (S&D), Manolis Kefalogiannis (PPE), Elżbieta Kruk (ECR), Stelios Kympouropoulos (PPE), Georgios Kyrtsos (PPE), Radan Kanev (PPE), Liesje Schreinemacher (Renew), Nicolae Ştefănuță (Renew), Elissavet Vozemberg-Vrionidi (PPE), Chrysoula Zacharopoulou (Renew), Theodoros Zagorakis (PPE), Frédérique Ries (Renew), Malik Azmani (Renew), Vangelis Meimarakis (PPE), Massimiliano Salini (PPE), Giorgos Georgiou (The Left), Monika Beňová (S&D), Juan Ignacio Zoido Álvarez (PPE), Maria da Graça Carvalho (PPE), David Lega (PPE), Miroslav Číž (S&D), Pernille Weiss (PPE), Mircea-Gheorghe Hava (PPE), Antonio López-Istúriz White (PPE), Costas Mavrides (S&D), Bronis Ropė (Verts/ALE)",https://www.europarl.europa.eu/doceo/document/E-9-2021-000430_EN.html,25-01-2021,E-000430/2021,2019-2024,2021,3,portugal,The Left group in the European Parliament - GUE/NGL,2019-2024_2021_portugal_the-left-group-in-the-european-parliament---gue-ngl_3.html,31,E-000430_2021,"The current EU-Turkey Bilateral Preferential Trade Framework (BPTF) is built upon three instruments: the Customs Union (CU), the Coal and Steel Agreement (CSA) and the Agricultural and Fishery Trade Regime (AFTR).In its 2016 ‘Study of the EU-Turkey Bilateral Preferential Trade Framework, including the Customs Union, and an assessment of its possible enhancement’, the Commission assessed the benefits of the trade liberalisation introduced by the BPTF and of its possible modernisation.However, to date, the Commission has not assessed the actual impact and costs of unwinding the EU-Turkey BPTF.In December 2020, the European Council invited the High Representative and the Commission to submit a report by March 2021 on the state of play of EU-Turkey political, economic and trade relations.In light of the above:1. What action is the Commission currently taking to address the European Council’s request?2. When will this report be made available to Parliament?3. Will it include the exact impact and cost of suspending each of the BPTF’s instruments for Turkey, the EU and the Member States?",NA,E-000430/2021,138,commission
